cuenta_id,fecha,transaccion,monto,descripcion
101,2024-12-01,deposito,1000,Compra en tienda
102,2024-06-30,retiro,-500,Ingreso extra
103,2024-03-22,deposito,3000,Ingreso mensual
104,2024-06-30,retiro,2000,Retiro parcial
105,2024-09-10,deposito,1000,
106,2024-01-15,retiro,3000,
107,2024-09-10,retiro,3000,Ingreso extra
108,2024-12-01,deposito,2000,
109,2024-09-10,compra,3000,Retiro parcial
110,2024-06-30,deposito,3000,Ingreso extra
111,2024-09-10,retiro,1000,Ingreso extra
112,2024-01-15,deposito,1000,
113,2024-06-30,compra,1000,
114,2024-12-01,compra,1000,
115,2024-09-10,compra,1000,Ingreso mensual
116,2024-12-01,deposito,1000,Compra en tienda
117,2024-03-22,compra,3000,Ingreso mensual
118,2024-12-01,retiro,3000,
119,2024-01-15,retiro,3000,Retiro parcial
120,2024-12-01,retiro,3000,Compra en tienda
121,2024-01-15,compra,2000,Compra en tienda
122,2024-06-30,deposito,2000,Compra en tienda
123,2024-03-22,deposito,-500,Retiro parcial
124,2024-01-15,retiro,3000,Ingreso mensual
125,2024-09-10,retiro,-500,Ingreso extra
126,2024-01-15,deposito,2000,Retiro parcial
127,2024-12-01,deposito,3000,
128,2024-09-10,deposito,-500,Ingreso mensual
129,2024-12-01,retiro,1000,Ingreso extra
130,2024-03-22,deposito,-500,
131,2024-01-15,deposito,2000,Compra en tienda
132,2024-09-10,deposito,2000,Retiro parcial
133,2024-03-22,deposito,3000,
134,2024-01-15,retiro,-500,Retiro parcial
135,2024-09-10,retiro,-500,Ingreso extra
136,03-04-2024,compra,-100,Ingreso mensual
137,2024-12-01,compra,1000,Compra en tienda
138,2024-01-15,deposito,-500,Ingreso extra
139,2024-12-01,retiro,-500,Compra en tienda
140,2024-09-10,retiro,2000,Compra en tienda
141,2024-09-10,compra,-500,Ingreso mensual
142,2024-03-22,compra,1000,
143,2024-01-15,compra,2000,Ingreso extra
144,2024-09-10,retiro,1000,Ingreso mensual
145,2024-09-10,compra,1000,Compra en tienda
146,2024-09-10,compra,-500,Ingreso extra
147,2024-01-15,deposito,3000,Compra en tienda
148,2024-09-10,deposito,2000,Ingreso mensual
149,2024-06-30,deposito,1000,
100,2024-03-22,deposito,3000,Compra en tienda
101,2024-09-10,compra,2000,Ingreso mensual
102,2024-09-10,deposito,-500,
103,2024-03-22,compra,2000,
104,2024-12-01,compra,2000,Ingreso mensual
105,2024-01-15,deposito,-500,
106,2024-12-01,compra,-500,Retiro parcial
107,2024-01-15,compra,-500,
108,2024-01-15,retiro,1000,Compra en tienda
109,2024-09-10,retiro,1000,
110,2024-06-30,compra,1000,Retiro parcial
111,2024-09-10,compra,3000,Compra en tienda
112,2024-03-22,retiro,1000,
113,2024-03-22,compra,3000,Ingreso mensual
114,2024-03-22,deposito,-500,Compra en tienda
115,2024-01-15,deposito,3000,Ingreso extra
116,2024-12-01,compra,-500,Compra en tienda
117,2024-09-10,deposito,-500,Ingreso mensual
118,2024-12-01,deposito,1000,
119,2024-01-15,compra,3000,
120,2024-01-15,deposito,3000,Compra en tienda
121,2024-01-15,deposito,1000,Ingreso extra
122,2024-12-01,compra,3000,Ingreso mensual
123,2024-01-15,compra,1000,Compra en tienda
124,2024-09-10,deposito,3000,Retiro parcial
125,2024-12-01,deposito,3000,Ingreso extra
126,2024-09-10,compra,1000,Compra en tienda
127,2024-01-15,retiro,-500,
128,2024-01-15,deposito,1000,
129,2024-03-22,compra,2000,
130,2024-09-10,retiro,3000,Retiro parcial
131,2024-01-15,deposito,2000,Compra en tienda
132,2024-12-01,compra,-500,Compra en tienda
133,2024-12-01,deposito,2000,Ingreso extra
134,2024-06-30,retiro,-500,Ingreso mensual
135,2024-03-22,deposito,2000,
136,2024-12-01,deposito,3000,Compra en tienda
137,2024-03-22,compra,2000,Ingreso mensual
138,2024-09-10,compra,3000,
139,2024-12-01,compra,-500,
140,2024-06-30,deposito,1000,Ingreso extra
141,2024-01-15,retiro,2000,Ingreso mensual
142,2024-03-22,retiro,2000,Retiro parcial
143,2024-06-30,compra,3000,Retiro parcial
144,2024-01-15,retiro,1000,Ingreso mensual
145,2024-12-01,deposito,2000,Compra en tienda
146,2024-12-01,retiro,1000,Ingreso mensual
147,2024-06-30,deposito,2000,Compra en tienda
148,2024-06-30,compra,2000,Retiro parcial
149,2024-03-22,retiro,1000,Ingreso mensual
100,2024-03-22,retiro,1000,Compra en tienda
101,2024-06-30,retiro,2000,Compra en tienda
102,2024-03-22,compra,3000,Ingreso mensual
103,2024-03-22,deposito,2000,
104,2024-06-30,retiro,3000,Retiro parcial
105,2024-12-01,compra,2000,
106,2024-03-22,retiro,2000,Ingreso mensual
107,2024-06-30,deposito,3000,Retiro parcial
108,2024-09-10,compra,1000,Retiro parcial
109,2024-12-01,retiro,3000,
110,2024-06-30,compra,-500,
111,2024-09-10,retiro,-500,
112,2024-12-01,compra,1000,Retiro parcial
113,2024-03-22,retiro,2000,Ingreso extra
114,2024-09-10,retiro,2000,Compra en tienda
115,2024-01-15,deposito,1000,Compra en tienda
116,2024-06-30,deposito,1000,Ingreso extra
117,2024-06-30,retiro,3000,Ingreso extra
118,2024-06-30,retiro,-500,Compra en tienda
119,2024-03-22,retiro,2000,Compra en tienda
120,2024-06-30,deposito,-500,
121,2024-01-15,retiro,2000,Ingreso mensual
122,2024-06-30,deposito,2000,Compra en tienda
123,2024-06-30,retiro,-500,Compra en tienda
124,2024-12-01,deposito,-500,Ingreso mensual
125,2024-06-30,retiro,3000,Ingreso extra
126,2024-01-15,retiro,2000,Ingreso extra
127,2024-03-22,retiro,2000,
128,2024-12-01,retiro,3000,Compra en tienda
129,2024-06-30,deposito,3000,Ingreso extra
130,2024-09-10,compra,1000,Compra en tienda
131,2024-03-22,retiro,1000,Ingreso extra
132,2024-06-30,retiro,2000,Ingreso extra
133,2024-09-10,compra,-500,Compra en tienda
134,2024-12-01,deposito,2000,Retiro parcial
135,2024-06-30,compra,3000,Ingreso extra
136,2024-09-10,deposito,3000,Retiro parcial
137,2024-06-30,compra,3000,Compra en tienda
138,2024-01-15,compra,2000,Ingreso mensual
139,2024-12-01,retiro,1000,Retiro parcial
140,2024-09-10,retiro,2000,Retiro parcial
141,2024-12-01,deposito,3000,Ingreso mensual
142,2024-01-15,deposito,-500,Ingreso extra
143,2024-01-15,deposito,3000,Ingreso extra
144,2024-09-10,deposito,2000,Retiro parcial
145,2024-09-10,deposito,-500,
146,2024-09-10,retiro,2000,Ingreso mensual
147,2024-13-01,deposito,-100,
148,2024-12-01,retiro,3000,Ingreso extra
149,2024-01-15,compra,1000,Compra en tienda
100,2024-09-10,retiro,-500,Ingreso extra
101,2024-03-22,retiro,2000,Retiro parcial
102,2024-09-10,retiro,3000,Retiro parcial
