id,fecha,monto,tipo
1,2024-01-15,2353,debito
2,2024-01-15,4567,debito
3,2024-01-15,344,debito
4,2024-12-01,317,debito
5,2024-12-01,3536,debito
6,2024-06-30,153,debito
7,2024-06-30,2376,debito
8,2024-06-30,937,debito
9,2024-06-30,2917,credito
10,2024-09-10,4492,debito
11,2024-09-10,745,credito
12,2024-12-01,3062,debito
13,2024-01-15,1966,credito
14,2024-03-22,-200,credito
15,2024-06-30,1432,credito
16,2024-06-30,684,debito
17,2024-03-22,1438,credito
18,2024-12-01,1899,credito
19,2024-01-15,1976,debito
20,2024-09-10,2293,debito
21,2024-12-01,2677,debito
22,2024-09-10,3858,debito
23,2024-03-22,4698,credito
24,2024-09-10,4880,credito
25,2024-03-22,4274,credito
26,2024-01-15,998,debito
27,2024-09-10,4985,debito
28,2024-12-01,3934,credito
29,2024-01-15,1038,credito
30,2024-06-30,1013,credito
31,2024-09-10,126,credito
32,2024-03-22,4258,debito
33,2024-06-30,4258,debito
34,2024-03-22,4518,debito
35,2024-09-10,259,debito
36,2024-06-30,2061,debito
37,2024-12-01,745,debito
38,2024-01-15,4463,debito
39,2024-09-10,4603,debito
40,2024-12-01,3566,debito
41,2024-03-22,2653,credito
42,17/06/2024,3688,credito
43,2024-03-22,624,credito
44,2024-12-01,1985,debito
45,2024-01-15,1975,debito
46,2024-06-30,680,debito
47,2024-09-10,1855,debito
48,2024-12-01,4820,credito
49,2024-09-10,3434,debito
50,2024-09-10,3002,credito
51,2024-01-15,906,debito
52,2024-06-30,995,debito
53,2024-12-01,3775,debito
54,2024-06-30,3889,debito
55,2024-01-15,3730,debito
56,2024-12-01,220,debito
57,2024-03-22,1462,credito
58,2024-03-22,3385,debito
59,2024-01-15,3298,credito
60,2024-09-10,2436,credito
61,2024-12-01,4086,debito
62,2024-03-22,579,debito
63,2024-01-15,510,credito
64,2024-12-01,1389,debito
65,2024-01-15,1622,debito
66,2024-03-22,3407,debito
67,2024-12-01,2116,debito
68,2024-09-10,4881,credito
69,2024-03-22,2673,debito
70,2024-03-22,2557,credito
71,2024-01-15,176,credito
72,2024-12-01,919,debito
73,2024-12-01,2272,debito
74,2024-01-15,2101,credito
75,2024-09-10,4550,credito
76,2024-12-01,164,credito
77,2024-01-15,1200,credito
78,2024-01-15,4632,debito
79,2024-12-01,1825,credito
80,2024-06-30,4240,credito
81,2024-01-15,856,credito
82,2024-01-15,129,credito
83,2024-06-30,1423,credito
84,2024-09-10,4694,debito
85,2024-03-22,4569,debito
86,2024-12-01,4626,debito
87,2024-01-15,2625,credito
88,2024-01-15,3031,debito
89,2024-01-15,2997,credito
90,2024-03-22,2039,debito
91,2024-03-22,3477,debito
