cuenta_id,fecha,transaccion,monto,descripcion
101,2024-01-15,deposito,1000,Compra en tienda
102,2024-01-15,compra,2000,Retiro parcial
103,2024-06-30,compra,-500,
104,2024-12-01,deposito,1000,
105,2024-06-30,retiro,1000,
106,2024-06-30,deposito,1000,Ingreso mensual
107,2024-12-01,deposito,-500,Ingreso mensual
108,17/06/2024,compra,,Ingreso mensual
109,2024-09-10,retiro,2000,Retiro parcial
110,2024-01-15,deposito,3000,Ingreso mensual
111,2024-06-30,deposito,1000,Ingreso mensual
112,2024-03-22,deposito,1000,Compra en tienda
113,2024-03-22,retiro,3000,
114,2024-01-15,compra,1000,
115,2024-09-10,retiro,1000,Retiro parcial
116,2024-06-30,retiro,2000,Compra en tienda
117,2024-01-15,retiro,2000,Compra en tienda
118,17/06/2024,deposito,,Ingreso mensual
119,2024-06-30,deposito,-500,Retiro parcial
120,2024-03-22,compra,-500,
121,2024-01-15,deposito,3000,Retiro parcial
122,2024-06-30,retiro,3000,Compra en tienda
123,2024-06-30,compra,2000,Ingreso extra
124,2024-01-15,compra,-500,Ingreso mensual
125,2024-01-15,retiro,2000,Ingreso extra
126,2024-01-15,compra,3000,Ingreso extra
127,2024-12-01,deposito,1000,Retiro parcial
128,2024-03-22,deposito,-500,
129,2024-06-30,deposito,-500,Ingreso mensual
130,2024-01-15,compra,1000,Ingreso extra
131,2024-06-30,retiro,2000,Ingreso mensual
132,2024-01-15,retiro,2000,Ingreso mensual
133,2024-03-22,retiro,2000,Retiro parcial
134,2024-09-10,retiro,-500,
135,2024-06-30,retiro,1000,Retiro parcial
136,2024-01-15,retiro,3000,
137,2024-09-10,compra,3000,Ingreso extra
138,2024-01-15,retiro,-500,Ingreso mensual
139,2024-06-30,retiro,-500,
140,2024-09-10,deposito,2000,Compra en tienda
141,2024-06-30,deposito,2000,Ingreso mensual
142,2024-09-10,deposito,2000,Compra en tienda
143,2024-06-30,deposito,-500,Compra en tienda
144,2024-12-01,retiro,3000,Retiro parcial
145,2024-03-22,compra,1000,Ingreso mensual
146,2024-09-10,deposito,1000,
147,2024-03-22,retiro,1000,Ingreso extra
148,2024-03-22,deposito,-500,
149,2024-01-15,retiro,3000,
100,2024-12-01,retiro,-500,Compra en tienda
101,2024-09-10,deposito,-500,Retiro parcial
102,2024-01-15,deposito,3000,Ingreso mensual
103,2024-06-30,retiro,1000,Ingreso mensual
104,2024-09-10,compra,2000,Ingreso mensual
105,2024-03-22,retiro,3000,Ingreso extra
106,2024-01-15,deposito,1000,Ingreso mensual
107,2024-09-10,compra,2000,
108,2024-12-01,retiro,-500,Compra en tienda
109,2024-03-22,retiro,1000,
110,2024-09-10,compra,2000,
111,2024-03-22,compra,-500,
112,2024-01-15,compra,2000,Ingreso extra
113,2024-03-22,retiro,1000,Ingreso extra
114,2024-12-01,compra,3000,
115,2024-01-15,deposito,3000,
116,2024-09-10,deposito,-500,Ingreso mensual
117,2024-06-30,deposito,-500,Compra en tienda
118,2024-03-22,deposito,3000,Ingreso mensual
119,2024-01-15,retiro,1000,Ingreso extra
120,2024-01-15,deposito,2000,Ingreso extra
121,2024-03-22,deposito,2000,Ingreso extra
122,2024-09-10,deposito,-500,Ingreso extra
123,2024-03-22,retiro,-500,Retiro parcial
124,2024-09-10,retiro,1000,Compra en tienda
125,2024-03-22,compra,1000,Ingreso mensual
126,2024-01-15,deposito,-500,Retiro parcial
127,2024-01-15,compra,3000,Compra en tienda
128,2024-01-15,retiro,-500,Ingreso extra
129,2024-01-15,retiro,1000,Retiro parcial
130,2024-01-15,compra,2000,Ingreso extra
131,2024-09-10,deposito,2000,
132,2024-12-01,compra,3000,Compra en tienda
133,2024-09-10,deposito,-500,Ingreso extra
134,2024-01-15,compra,3000,Compra en tienda
135,2024-03-22,compra,3000,Ingreso mensual
